text1,text2,label
Sleep is critical for physical recovery.,Oceans cover most of the Earth's surface.,0
Football is one of the most popular sports worldwide.,Football is one of the most popular sports worldwide through advanced techniques.,1
Vaccination helps prevent infectious diseases.,Vaccination helps prevent infectious diseases using modern approaches.,1
Machine learning enables computers to learn patterns from data.,Mount Everest is the tallest mountain on Earth.,0
Regular exercise improves cardiovascular health.,Vaccination helps prevent infectious diseases.,0
Photosynthesis allows plants to produce their own food.,Music strongly influences emotions.,0
Cloud computing allows remote data storage.,Cloud computing allows remote data storage in real-world applications.,1
"Atoms consist of protons, neutrons, and electrons.",Oceans cover most of the Earth's surface.,0
Energy cannot be created or destroyed.,Energy cannot be created or destroyed in real-world applications.,1
Natural language processing allows machines to understand human language.,Natural language processing allows machines to understand human language through advanced techniques.,1
Inflation reduces purchasing power over time.,Inflation reduces purchasing power over time in real-world applications.,1
Sleep is critical for physical recovery.,Sleep is critical for physical recovery using modern approaches.,1
The French Revolution began in the late eighteenth century.,The French Revolution began in the late eighteenth century in real-world applications.,1
Photosynthesis allows plants to produce their own food.,Photosynthesis allows plants to produce their own food in real-world applications.,1
Colonialism reshaped global political structures.,Ancient civilizations developed early writing systems.,0
The Internet connects devices globally.,The Internet connects devices globally using modern approaches.,1
Sleep is critical for physical recovery.,Sleep is critical for physical recovery in real-world applications.,1
Colonialism reshaped global political structures.,Colonialism reshaped global political structures in real-world applications.,1
